tribunal,meta1,meta2A,meta2B,meta2C,meta2ANT,meta4A,meta4B,meta6,meta7A,meta7B,meta8A,meta8B,meta10A,meta10B
STJ,338260.33,13736.74,0.00,0.00,0.00,7581.02,2557.33,1445.84,900.00,400.00,2512.58,0.00,555.55,0.00
STM,9933.33,2275.38,2468.01,0.00,458.34,2764.48,1883.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TJAP,330175.95,8655.14,2096.75,5836.11,562.22,11282.55,2573.39,1905.32,0.00,0.00,4954.74,865.08,2907.63,1200.00
TJDFT,996436.58,27777.58,16722.61,11248.96,2411.67,28013.77,5508.77,3644.71,200.00,0.00,15614.30,3072.83,6114.61,6766.67
TJSP,11055697.77,274878.45,14593.55,97070.45,25391.71,232959.66,47485.22,28214.53,0.00,200.00,97692.78,13496.75,75449.75,1787.39
TRE-DF,2733.33,4350.56,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TRE-SP,223960.75,50285.73,0.00,0.00,716.66,1535.21,11418.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TRE-TO,34559.38,6201.60,0.00,0.00,366.67,0.00,1651.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TRF1,4088934.05,51490.94,30312.61,0.00,57720.97,39590.71,20483.06,7574.29,2957.68,753.33,0.00,0.00,0.00,0.00
TRF2,1423221.46,27085.80,18584.74,0.00,30492.64,18185.12,7236.14,3014.98,300.00,0.00,0.00,0.00,0.00,0.00
TRF3,1540860.33,38625.43,19518.64,0.00,51031.47,30538.55,10788.78,4165.16,1098.57,0.00,0.00,0.00,0.00,0.00
TRT1,508632.52,24857.26,0.00,0.00,4784.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TRT2,1415174.62,39180.38,0.00,0.00,5717.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TRT3,503131.55,25328.84,0.00,0.00,2127.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TST,338074.59,0.00,0.00,0.00,682.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
